"stock_id","time_stamp","open","high","low","last","volume"
"0","2019-05-24 10:19:00+00","595.341","595.36","595.341","595.358",0
"0","2019-05-24 10:21:00+00","595.41","595.41","595.409","595.409",0
"0","2019-05-24 10:22:00+00","595.36","595.36","595.356","595.356",0
"0","2019-05-24 10:23:00+00","595.46","595.46","595.455","595.455",0
"0","2019-05-24 10:24:00+00","595.41","595.41","595.406","595.406",0
"0","2019-05-24 10:25:00+00","595.43","595.43","595.429","595.429",0
"0","2019-05-24 10:26:00+00","595.59","595.592","595.59","595.592",0
"0","2019-05-24 10:27:00+00","595.62","595.621","595.62","595.621",0
"0","2019-05-24 10:28:00+00","595.65","595.653","595.65","595.653",0
"0","2019-05-24 10:29:00+00","595.578","595.62","595.578","595.619",0
"0","2019-05-24 10:31:00+00","595.527","595.53","595.527","595.53",0
"0","2019-05-24 10:32:00+00","595.64","595.641","595.64","595.641",0
"0","2019-05-24 10:33:00+00","595.77","595.77","595.768","595.768",0
"0","2019-05-24 10:34:00+00","595.76","595.764","595.76","595.764",0
"0","2019-05-24 10:35:00+00","595.84","595.84","595.838","595.838",0
"0","2019-05-24 10:36:00+00","595.85","595.853","595.85","595.853",0
"0","2019-05-24 10:37:00+00","595.84","595.842","595.84","595.842",0
"0","2019-05-24 10:38:00+00","595.849","595.85","595.849","595.85",0
"0","2019-05-24 10:39:00+00","595.89","595.89","595.887","595.887",0
"0","2019-05-24 10:40:00+00","595.79","595.791","595.79","595.791",0
"0","2019-05-24 10:41:00+00","595.82","595.82","595.815","595.815",0
"0","2019-05-24 10:42:00+00","595.8","595.804","595.8","595.804",0
"0","2019-05-24 10:43:00+00","595.81","595.813","595.81","595.813",0
"0","2019-05-24 10:44:00+00","595.91","595.91","595.906","595.906",0
"0","2019-05-24 10:45:00+00","595.89","595.893","595.89","595.893",0
"0","2019-05-24 10:46:00+00","595.943","595.943","595.94","595.94",0
"0","2019-05-24 10:47:00+00","595.93","595.93","595.926","595.926",0
"0","2019-05-24 10:48:00+00","595.96","595.96","595.959","595.959",0
"0","2019-05-24 10:49:00+00","595.914","595.914","595.769","595.769",0
"0","2019-05-24 10:51:00+00","595.74","595.743","595.74","595.743",0
"0","2019-05-24 10:52:00+00","595.7","595.702","595.7","595.702",0
"0","2019-05-24 10:53:00+00","595.69","595.69","595.688","595.688",0
"0","2019-05-24 10:54:00+00","595.68","595.682","595.68","595.682",0
"0","2019-05-24 10:55:00+00","595.68","595.682","595.68","595.682",0
"0","2019-05-24 10:56:00+00","595.76","595.762","595.76","595.762",0
"0","2019-05-24 10:57:00+00","595.74","595.742","595.74","595.742",0
"0","2019-05-24 10:58:00+00","595.64","595.64","595.64","595.64",0
"0","2019-05-24 10:59:00+00","595.584","595.66","595.584","595.656",0
"0","2019-05-24 11:01:00+00","595.77","595.774","595.77","595.774",0
"0","2019-05-24 11:02:00+00","595.77","595.772","595.77","595.772",0
"0","2019-05-24 11:03:00+00","595.79","595.79","595.785","595.785",0
"0","2019-05-24 11:04:00+00","595.86","595.86","595.86","595.86",0
"0","2019-05-24 11:05:00+00","595.88","595.88","595.876","595.876",0
"0","2019-05-24 11:06:00+00","595.9","595.9","595.9","595.9",0
"0","2019-05-24 11:07:00+00","595.96","595.962","595.96","595.962",0
"0","2019-05-24 11:08:00+00","595.95","595.95","595.949","595.949",0
"0","2019-05-24 11:09:00+00","596.12","596.122","596.12","596.122",0
"0","2019-05-24 11:10:00+00","596.21","596.215","596.21","596.215",0
"0","2019-05-24 11:11:00+00","596.27","596.27","596.266","596.266",0
"0","2019-05-24 11:12:00+00","596.32","596.32","596.318","596.318",0
"0","2019-05-24 11:13:00+00","596.22","596.22","596.22","596.22",0
"0","2019-05-24 11:14:00+00","596.16","596.163","596.16","596.163",0
"0","2019-05-24 11:15:00+00","596.09","596.094","596.09","596.094",0
"0","2019-05-24 11:16:00+00","596.134","596.134","596.13","596.13",0
"0","2019-05-24 11:17:00+00","596.07","596.07","596.067","596.067",0
"0","2019-05-24 11:18:00+00","596.18","596.182","596.18","596.182",0
"0","2019-05-24 11:19:00+00","596.19","596.194","596.19","596.194",0
"0","2019-05-24 11:20:00+00","596.15","596.151","596.15","596.151",0
"0","2019-05-24 11:21:00+00","596.19","596.19","596.19","596.19",0
"0","2019-05-24 11:22:00+00","596.054","596.054","596.05","596.05",0
"0","2019-05-24 11:23:00+00","596.01","596.014","596.01","596.014",0
"0","2019-05-24 11:24:00+00","595.92","595.92","595.919","595.919",0
"0","2019-05-24 11:25:00+00","595.96","595.964","595.96","595.964",0
"0","2019-05-24 11:26:00+00","595.88","595.881","595.88","595.881",0
"0","2019-05-24 11:27:00+00","595.92","595.921","595.92","595.921",0
"0","2019-05-24 11:28:00+00","595.91","595.91","595.909","595.909",0
"0","2019-05-24 11:29:00+00","596.036","596.183","596.036","596.183",0
"0","2019-05-24 11:31:00+00","596.29","596.29","596.288","596.288",0
"0","2019-05-24 11:32:00+00","596.273","596.273","596.27","596.27",0
"0","2019-05-24 11:33:00+00","596.24","596.24","596.236","596.236",0
"0","2019-05-24 11:34:00+00","596.3","596.304","596.3","596.304",0
"0","2019-05-24 11:35:00+00","596.29","596.292","596.29","596.292",0
"0","2019-05-24 11:36:00+00","596.23","596.23","596.228","596.228",0
"0","2019-05-24 11:37:00+00","596.05","596.05","596.048","596.048",0
"0","2019-05-24 11:38:00+00","595.96","595.964","595.96","595.964",0
"0","2019-05-24 11:39:00+00","595.92","595.922","595.92","595.922",0
"0","2019-05-24 11:40:00+00","595.33","595.922","595.33","595.922",0
"0","2019-05-24 11:41:00+00","595.31","595.31","595.31","595.31",0
"0","2019-05-24 11:42:00+00","595.29","595.29","595.288","595.288",0
"0","2019-05-24 11:43:00+00","595.59","595.59","595.589","595.589",0
"0","2019-05-24 11:44:00+00","595.61","595.614","595.61","595.614",0
"0","2019-05-24 11:45:00+00","595.61","595.614","595.61","595.614",0
"0","2019-05-24 11:46:00+00","595.573","595.573","595.57","595.57",0
"0","2019-05-24 11:47:00+00","595.67","595.671","595.67","595.671",0
"0","2019-05-24 11:48:00+00","595.66","595.662","595.66","595.662",0
"0","2019-05-24 11:49:00+00","595.678","595.678","595.595","595.595",0
"0","2019-05-24 11:51:00+00","595.65","595.65","595.65","595.65",0
"0","2019-05-24 11:52:00+00","595.64","595.64","595.637","595.637",0
"0","2019-05-24 11:53:00+00","595.752","595.752","595.75","595.75",0
"0","2019-05-24 11:54:00+00","595.82","595.82","595.818","595.818",0
"0","2019-05-24 11:55:00+00","595.79","595.79","595.785","595.785",0
"0","2019-05-24 11:56:00+00","595.774","595.774","595.77","595.77",0
"0","2019-05-24 11:57:00+00","595.82","595.824","595.82","595.824",0
"0","2019-05-24 11:58:00+00","595.78","595.781","595.78","595.781",0
"0","2019-05-24 11:59:00+00","595.792","595.792","595.698","595.698",0
"0","2019-05-24 12:01:00+00","595.77","595.77","595.77","595.77",0
"0","2019-05-24 12:02:00+00","595.786","595.79","595.786","595.79",0
"0","2019-05-24 12:03:00+00","595.79","595.79","595.789","595.789",0
"0","2019-05-24 12:04:00+00","595.72","595.723","595.72","595.723",0
"0","2019-05-24 12:05:00+00","595.71","595.712","595.71","595.712",0
"0","2019-05-24 12:06:00+00","595.65","595.65","595.646","595.646",0
"0","2019-05-24 12:07:00+00","595.64","595.64","595.639","595.639",0
"0","2019-05-24 12:08:00+00","595.64","595.64","595.635","595.635",0
"0","2019-05-24 12:09:00+00","595.6","595.6","595.598","595.598",0
"0","2019-05-24 12:10:00+00","595.55","595.55","595.547","595.547",0
"0","2019-05-24 12:11:00+00","595.46","595.464","595.46","595.464",0
"0","2019-05-24 12:12:00+00","595.45","595.454","595.45","595.454",0
"0","2019-05-24 12:13:00+00","595.53","595.53","595.53","595.53",0
"0","2019-05-24 12:14:00+00","595.62","595.62","595.616","595.616",0
"0","2019-05-24 12:15:00+00","595.64","595.64","595.639","595.639",0
"0","2019-05-24 12:16:00+00","595.665","595.67","595.665","595.67",0
"0","2019-05-24 12:17:00+00","595.68","595.684","595.68","595.684",0
"0","2019-05-24 12:18:00+00","595.71","595.71","595.705","595.705",0
"0","2019-05-24 12:19:00+00","595.63","595.63","595.628","595.628",0
"0","2019-05-24 12:20:00+00","595.63","595.63","595.629","595.629",0
"0","2019-05-24 12:21:00+00","595.74","595.742","595.74","595.742",0
"0","2019-05-24 12:22:00+00","595.81","595.812","595.81","595.812",0
"0","2019-05-24 12:23:00+00","595.87","595.87","595.867","595.867",0
"0","2019-05-24 12:24:00+00","595.85","595.85","595.847","595.847",0
"0","2019-05-24 12:25:00+00","595.8","595.805","595.8","595.805",0
"0","2019-05-24 12:26:00+00","595.85","595.85","595.846","595.846",0
"0","2019-05-24 12:27:00+00","595.87","595.87","595.87","595.87",0
"0","2019-05-24 12:28:00+00","595.86","595.863","595.86","595.863",0
"0","2019-05-24 12:29:00+00","595.83","595.83","595.786","595.786",0
"0","2019-05-24 12:31:00+00","595.775","595.78","595.775","595.78",0
"0","2019-05-24 12:32:00+00","595.77","595.77","595.765","595.765",0
"0","2019-05-24 12:33:00+00","595.712","595.712","595.71","595.71",0
"0","2019-05-24 12:34:00+00","595.74","595.741","595.74","595.741",0
"0","2019-05-24 12:35:00+00","595.694","595.694","595.69","595.69",0
"0","2019-05-24 12:36:00+00","595.72","595.724","595.72","595.724",0
"0","2019-05-24 12:37:00+00","595.65","595.651","595.65","595.651",0
"0","2019-05-24 12:38:00+00","595.79","595.79","595.788","595.788",0
"0","2019-05-24 12:39:00+00","595.891","595.891","595.85","595.854",0
"0","2019-05-24 12:41:00+00","595.874","595.874","595.87","595.87",0
"0","2019-05-24 12:42:00+00","595.82","595.82","595.818","595.818",0
"0","2019-05-24 12:43:00+00","595.88","595.885","595.88","595.885",0
"0","2019-05-24 12:44:00+00","595.94","595.94","595.94","595.94",0
"0","2019-05-24 12:45:00+00","595.97","595.972","595.97","595.972",0
"0","2019-05-24 12:46:00+00","595.99","595.993","595.99","595.993",0
"0","2019-05-24 12:47:00+00","596.06","596.06","596.059","596.059",0
"0","2019-05-24 12:48:00+00","596","596.004","596","596.004",0
"0","2019-05-24 12:49:00+00","595.981","596.124","595.981","596.12",0
"0","2019-05-24 12:51:00+00","596.18","596.185","596.18","596.185",0
"0","2019-05-24 12:52:00+00","596.14","596.14","596.137","596.137",0
"0","2019-05-24 12:53:00+00","596.15","596.151","596.15","596.151",0
"0","2019-05-24 12:54:00+00","596.2","596.2","596.197","596.197",0
"0","2019-05-24 12:55:00+00","596.07","596.073","596.07","596.073",0
"0","2019-05-24 12:56:00+00","595.983","595.983","595.98","595.98",0
"0","2019-05-24 12:57:00+00","595.83","595.83","595.826","595.826",0
"0","2019-05-24 12:58:00+00","595.81","595.814","595.81","595.814",0
"0","2019-05-24 12:59:00+00","595.668","595.834","595.668","595.834",0
"0","2019-05-24 13:01:00+00","595.79","595.79","595.787","595.787",0
"0","2019-05-24 13:02:00+00","595.74","595.741","595.74","595.741",0
"0","2019-05-24 13:03:00+00","595.71","595.713","595.71","595.713",0
"0","2019-05-24 13:04:00+00","595.47","595.473","595.47","595.473",0
"0","2019-05-24 13:05:00+00","595.55","595.55","595.549","595.549",0
"0","2019-05-24 13:06:00+00","595.56","595.564","595.56","595.564",0
"0","2019-05-24 13:07:00+00","595.59","595.59","595.589","595.589",0
